Projetos de Pesquisa Cadastrados em 2016,,
Campus,Título,Coordenador do Projeto
Salinas,Nova Bebida Produzida Pela Mistura de Kefir Açucarado e Polpa de Maracujá: Um Estudo com Consumidores,Bruna Castro Porto
Salinas,Avaliação do Teor Prolina em Ziziphus joazeiro Mart. Nas Estações de Inverno e Verão em Condições de Ambiente Natural na Região de Salinas – MG,Antônio Carlos Pinheiro Cani
Salinas,"Implantação e Instrumentação de Uma Bacia Experimental no Médio Jequitinhonha, na Bacia Hidrográfica do Rio Salinas, Minas Gerais",Ronaldo Medeiros dos Santos
Salinas,Relação da Capacidade Produtiva com a Nutrição de Povoamento de Eucalyptus SP.,Vinícius Orlandi Barbosa Lima
Salinas,Avaliação da Qualidade Microbiológica de Peixes Comercializados na Feira Livre de Salinas – MG,Eduardo Garrido
Salinas,Reaproveitamento e Quantificação de Leveduras para Produção de Cerveja Artesanal,Felipe Cimino Duarte
Salinas,Avaliação do Uso de Diferentes Inoculantes na Elaboração e Qualidade Bromatologica de Silvagem de Cana de Açúcar,Júlio Cesar Oliveira Dias
Salinas,A Física do Exame Nacional do Ensino Médio (ENEM): o que Estudar?,Vailton Afonso da Silva
Salinas,Estudo da Composição Química do Óleo Essencial do Alecrim do Campo Medusantha Martiusil – Indivíduos Coletados e Clonados – e do seu Potencial para a Inibição de Microrganismos Patogênicos,Fábio Wéliton Jorge Lima
Salinas,Elaboração de Pão sem Glúten à Base de Fontes de Amido com Farinha de Berinjela,Alcides Ricardo Gomes de Oliveira
Salinas,Efeito Larvicida de  Caryocar brasiliense  camb. Sobre Aedes aegypty,Patrícia Nery Silva Souza
Salinas,Análise de Crescimento de Espécies Arbóreas em Diferentes Composições de Substratos,Magalhães Teixeira de Souza
Salinas,Diferentes Métodos de Superação de Dormência para Produção de Mudas de Mulungu do Litoral (Erythrina speciosa WILD.),Jéssica Costa de Oliveira
Salinas,Utilização de Redes Neurais Artificiais na Estimativa de Volume de Eucalipto na Região Norte de Minas Gerais,Álvaro Diego Soares Mota
Salinas,Caracterização Físico-química e Microbiológica do Queijo Tipo Caciocavallo Produzido de Forma Artesanal no Município de Cachoeira de Pajeú-MG,Roberta Magalhães  Dias Cardozo
Salinas,Desenvolvimento e Caracterização de Bebida à Base de Vegetais e Soro de Leite Como Alternativa para a Utilização do Subproduto da Fabricação de Queijo,Andréia de Paula Viana
Salinas,Avaliação de Diferentes Métodos de Acabamento em Superfície Transversal para Análise Macroscópica da Madeira,Wagner Patrício de Souza Júnior
Salinas,Sobremesa Láctea Tipo Mousse com Leite de Cabra: Desenvolvimento e Aceitabilidade com Vista a Busca de Novos Produtos e Valorização de Sabores,Daniela Caetano Cardoso
Salinas,Análise da Capacidade Fitorremediadora da Taioba em Águas Contaminadas por Efluentes,Sara Carolina Soares Guerra Fardin
Salinas,Inserção dos Conceitos Físicos nos Anos Iniciais: Formação de Professores e Propostas Metodológicas para o Ensino de Ciências no Nível Fundamental I,José Antônio Duarte Santos
Salinas,"Avaliação Físico-química, Microbiológica e Sensorial de uma Nova Bebida Produzida pela Mistura de Kefir Açucarado e Polpa de Maracujá",Bruna Castro Porto
Salinas,Extração e Caracterização Físico-químico e Sensorial da Pectina em Pó da Casca (Albedo) de Laranja Pêra (citrus sinensis (L) osbeck) Para Elaboração de Geléia de Seriguiela (Spondias purpúrea L.),Edilene Alves Barbosa
Salinas,Hambúrguer com Carne de Coelho Enriquecido com Fibras: Elaboração e Aceitabilidade com Vista a Inserção de Novos Produtos e Valorização da Carne de Coelho,Daniela Catano Cardoso
Teófilo Otoni,Adubação e Substratos Alternativos na Produção de mudas de Citros,Ivan Carlos Carreiro Almeida
Teófilo Otoni,Historietas do Comportamento Brasileiro: Desenvolvimento de uma medida experimental para a identificação de perfis comportamentais cotidianos,Gustavo Henrique Silva de Souza
Teófilo Otoni,Tradução Intersemiótica e Double Coding: Ecos de Uma Formação Crítica,Thiago Horácio Lott
Teófilo Otoni,Nectários Extraflorais e Psilídeos como Alimento Alternativo para Crisopídeos,Maíra Queiroz Resende
Teófilo Otoni,Clima Organizacional e Padrões Omdoviduais: Elementos da Psicologia Organizacional para Melhores Práticas da Gestão de Recursos Humanos,Gustavo Henrique Silva de Souza
Teófilo Otoni,"Melhorando Processos de Seleção, Avaliação de Desempenho e Perfis nas Organizações: Construção e Desenvolvimento de Um Software Gerencial de Testagem, Avaliação e Diagnóstico Comportamental",Gustavo Henrique Silva de Souza
